EPIC,KepMag,Kmag,Teff,mass,Radius
220395006,15.659,13.015,4219,0.577,0.521
220395017,15.319,12.449,3668,0.298,0.288
220395050,9.715,7.526,4714,1.233,11.077
220395056,11.826,10.073,5336,0.92,0.87
220395111,14.147,12.026,4774,0.718,0.67
220395192,17.489,15.481,,,
220395200,17.705,,,,
220395215,16.664,14.72,5179,0.78,0.735
220395236,11.593,10.335,6047,1.149,1.465
220395307,11.447,9.225,4610,0.949,12.294
220395377,16.966,14.347,,,
220395416,11.913,10.549,5820,0.995,1.042
220395419,17.258,14.862,,,
220395483,16.759,14.29,,,
220395497,13.32,11.907,5806,0.974,1.098
220395504,16.329,14.493,5955,0.708,0.721
220395561,13.256,11.558,5400,0.875,0.821
220395562,13.918,12.172,5436,0.913,0.879
220395574,14.405,12.944,5667,0.885,0.888
220395582,13.064,11.862,6119,1.104,1.277
220395596,16.706,15.27,,,
220395727,14.423,12.601,5066,0.794,0.743
220395827,16.478,13.547,3920,0.458,0.405
220395851,13.203,11.949,5886,1.031,1.169
220395864,13.841,11.515,3792,0.412,0.371
220395884,13.587,12.17,5954,1.059,1.233
220395888,13.573,12.283,5113,0.937,2.739
220395900,17.087,15.041,,,
220395956,15.644,13.953,5423,0.753,0.746
220395959,14.503,11.311,4348,0.651,0.598
220395974,12.557,10.826,5318,0.942,2.444
220395990,12.441,11.097,6021,1.088,1.316
220395998,15.953,13.404,,,
220396157,13.06,11.11,5122,0.903,0.874
220396177,12.656,11.096,5615,0.947,0.93
220396182,15.755,12.688,4166,0.576,0.516
220396192,15.753,12.756,3907,0.452,0.41
220396203,14.061,11.607,4440,0.684,0.617
220396214,13.166,11.486,5384,0.724,0.704
220396215,15.901,12.615,4002,0.505,0.448
220396228,16.904,15.08,5534,0.718,0.698
220396288,11.853,10.46,6017,1.137,1.358
220396294,13.438,12.043,5646,0.955,0.966
