EPIC,RA,Dec,Data Availability,KepMag,HIP,TYC,UCAC,2MASS,SDSS,Object type,Kepflag,pmra,e_pmra,pmdec,e_pmdec,plx,e_plx,Bmag,e_Bmag,Vmag,e_Vmag,umag,e_umag,gmag,e_gmag,rmag,e_rmag,imag,e_imag,zmag,e_zmag,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Teff,logg,[Fe/H],Radius,mass,rho,Distance,E(B-V)
integer,ra,dec,integer,float,integer,string,string,string,string,string,string,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,float,integer,float,float,float,float,float,float,float
248859454,11 01 45.612,+12 08 43.36,1,17.753,,,,,3836-301-4-0113-0164,EXTENDED,gri,0,4,-9,4,,,,,,,20.056,0.09,18.592,0.011,17.787,0.009,17.394,0.009,17.084,0.025,,,,,,,,,,,,,,
248859544,10 49 49.935,+12 08 51.87,1,18.126,,,,10494993+1208518,3538-301-5-0297-0091,EXTENDED,gri,5,3,1,3,,,,,,,19.947,0.049,18.757,0.01,18.187,0.009,17.856,0.011,17.657,0.029,16.848,0.132,16.262,0.189,15.518,0.18,,,,,,,,
248859680,11 01 34.204,+12 09 03.82,1,17.677,,,,11013420+1209038,3836-301-4-0113-0135,EXTENDED,gri,,,,,,,,,,,20.463,0.113,18.608,0.01,17.697,0.007,17.278,0.007,16.957,0.02,16.175,0.115,15.625,0.16,15.489,0.173,,,,,,,,
248859687,10 58 29.466,+12 09 04.18,1,17.245,,,,10582946+1209041,3836-301-4-0108-0080,EXTENDED,gri,-1,3,2,3,,,,,,,20.162,0.077,18.263,0.008,17.246,0.006,16.808,0.005,16.436,0.013,15.535,0.056,14.856,0.066,14.554,0.082,,,,,,,,
248859706,10 41 04.291,+12 09 05.95,1,17.869,,,,10410429+1209059,,STAR,J,6,9,14,2,,,,,,,,,,,,,,,,,16.346,0.127,15.27,0.122,15.022,0.134,3969,4.874,-0.278,0.388,0.447,6.844,843.6,0.034
248859753,10 38 23.111,+12 09 10.04,1,18.269,,,,10382311+1209100,3836-301-5-0075-0163,STAR,gri,-102,5,-64,5,,,,,,,22.745,0.394,20.518,0.028,19.085,0.013,17.305,0.006,16.398,0.008,14.817,0.045,14.272,0.052,14.182,0.082,2984,5.198,0.151,0.145,0.121,39.66,83.85,0.018
248859791,10 35 16.158,+12 09 13.96,1,17.518,,,,10351615+1209139,,STAR,J,6,2,6,7,,,,,,,,,,,,,,,,,16.021,0.105,,,15.428,0.192,,,,,,,,
248859797,10 32 24.642,+12 09 14.72,1,17.155,,,,,3538-301-6-0269-0130,EXTENDED,gri,-9,2,3,2,,,,,,,18.586,0.035,17.569,0.008,17.179,0.01,16.977,0.012,16.841,0.037,,,,,,,,,,,,,,
248859812,10 48 17.750,+12 09 16.19,1,15.107,,,511-050801,10481773+1209163,3538-301-5-0295-0122,STAR,gri,-210,72,-80,4,,,17.925,0.139,16.287,0.073,,,17.217,0.03,15.872,0.02,14.202,0.05,,,12.143,0.022,11.546,0.021,11.285,0.02,3626,4.994,-0.009,0.281,0.296,12.45,76.01,0.013
248859813,10 40 55.158,+12 09 16.45,1,16.91,,,,10405515+1209164,,STAR,J,14,11,-4,0,,,,,,,,,,,,,,,,,15.454,0.096,,,,,,,,,,,,
